회사명,"수수료
부과기준",기준일자,거래금액,구분,증권사지점개설계좌,증권사지점개설계좌,증권사지점개설계좌,증권사지점개설계좌,은행개설계좌,은행개설계좌,은행개설계좌,은행개설계좌,비고
회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,온라인,온라인,온라인,오프라인,온라인,온라인,온라인,비고
회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,HTS,ARS,스마트폰,오프라인,HTS,ARS,스마트폰,비고
유안타증권,/img/sub/ico_pdf.gif,2020/09/14,100만원,변경전,"5,000.","2,500.","1,970.","1,000.","5,000.",140.,"1,970.","1,000.",유관기관수수료 20/09/14 ~ 20/12/31 한시적 면제
대신증권,/img/sub/ico_pdf.gif,2020/09/15,100만원,변경전,"4,937.","2,337.","1,937.","1,937.","4,937.","2,337.","1,937.","1,937.",유관기관수수료 한시적 면제에 따른 위탁수수료 변동사항으로 20/09/15 ~ 20/12/31 기간 내 시행
키움증권,/img/sub/ico_pdf.gif,2020/09/16,100만원,변경전,"2,960.",110.,"1,460.",110.,"2,960.",110.,"1,460.",110.,유관기관수수료 20/09/16 ~ 20/12/31 한시적 면제
카카오페이증권,/img/sub/ico_pdf.gif,2020/09/22,100만원,변경전,"4,937.",,,,,,,,유관기관 제비용 한시적 면제에 따른 수수료 인하 적용
키움증권,/img/sub/ico_pdf.gif,2020/12/31,100만원,변경후,"3,000.",150.,"1,500.",150.,"3,000.",150.,"1,500.",150.,
키움증권,/img/sub/ico_pdf.gif,2020/12/31,100만원,변경율,0.01351,0.36364,0.0274,0.36364,0.01351,0.36364,0.0274,0.36364,
대신증권,/img/sub/ico_pdf.gif,2021/01/01,100만원,변경후,"4,973.","2,373.","1,973.","1,973.","4,973.","2,373.","1,973.","1,973.",
대신증권,/img/sub/ico_pdf.gif,2021/01/01,100만원,변경율,0.00729,0.0154,0.01859,0.01859,0.00729,0.0154,0.01859,0.01859,
메리츠증권,/img/sub/ico_pdf.gif,2021/01/01,100만원,변경후,"4,981.","2,881.","1,981.","2,881.","4,981.","2,881.","1,981.","2,881.",
메리츠증권,/img/sub/ico_pdf.gif,2021/01/01,100만원,변경율,0.00748,0.01301,0.01903,0.01301,0.00748,0.01301,0.01903,0.01301,
DS투자증권,/img/sub/ico_pdf.gif,2021/01/01,100만원,변경후,"4,956.",,,,,,,,
DS투자증권,/img/sub/ico_pdf.gif,2021/01/01,100만원,변경율,-0.00721,,,,,,,,
카카오페이증권,/img/sub/ico_pdf.gif,2021/01/01,100만원,변경후,"4,973.",,,,,,,,
카카오페이증권,/img/sub/ico_pdf.gif,2021/01/01,100만원,변경율,0.00729,,,,,,,,
유안타증권,/img/sub/ico_pdf.gif,2021/01/04,100만원,변경후,"5,000.","2,500.","1,970.","1,000.","5,000.",140.,"1,970.","1,000.",
유안타증권,/img/sub/ico_pdf.gif,2021/01/04,100만원,변경율,0.,0.,0.,0.,0.,0.,0.,0.,
토스증권,/img/sub/ico_pdf.gif,2021/01/21,100만원,변경후,,,150.,150.,,,,,
교보증권,/img/sub/ico_pdf.gif,2021/09/01,100만원,변경후,"4,990.","1,990.","2,490.","1,990.","4,990.","1,990.","2,490.","1,990.",
교보증권,/img/sub/ico_pdf.gif,2021/09/01,100만원,변경율,0.,0.,0.,0.,0.,0.,0.,2.10938,
한양증권,/img/sub/ico_hwp.gif,2021/09/06,100만원,변경후,"4,973.","2,173.",0.,"1,000.","4,973.","2,173.",0.,"1,000.",ARS 서비스종료로 증권사지점개설계좌 수수료 기준삭제
한양증권,/img/sub/ico_hwp.gif,2021/09/06,100만원,변경율,0.,0.,-1.,0.,0.,0.,-1.,0.,
삼성증권,/img/sub/ico_doc.gif,2021/10/01,100만원,변경후,"4,972.","2,972.","2,472.","2,972.","4,972.","2,972.","2,472.","2,972.",
삼성증권,/img/sub/ico_doc.gif,2021/10/01,100만원,변경율,,,,,,,,,
KB증권,/img/sub/ico_pdf.gif,2021/11/25,100만원,변경후,"4,973.","2,573.","2,473.","1,973.","4,973.",150.,"1,500.","1,200.",
KB증권,/img/sub/ico_pdf.gif,2021/11/25,100만원,변경율,,,,,,,,,
한국투자증권,/img/sub/ico_pdf.gif,2021/11/25,100만원,변경후,"4,971.","3,271.","2,471.","3,271.",,141.,"2,471.",141.,코스피/코스닥/장외단주/코넥스
한국투자증권,/img/sub/ico_pdf.gif,2021/11/25,100만원,변경율,,,0.,,,,,,
